"Gene"	"Correlation"	"P-Value"	"FDR"
"ENSG00000185433"	"0.150637784014948"	"0.360000664942584"	"0.483255690900975"
"ENSG00000185594"	"-0.102150192621064"	"0.536051720974211"	"0.650840343137088"
"ENSG00000185700"	"0.624493927125506"	"3.22438502293079e-05"	"0.000279486583063686"
"ENSG00000185837"	"0.520242914979757"	"0.000812815131967295"	"0.00313116119438589"
"ENSG00000185847"	"0.732388663967611"	"5.34717711017552e-07"	"4.21577285921349e-05"
"ENSG00000185904"	"0.476720647773279"	"0.00240336898498472"	"0.00761463440787238"
"ENSG00000186019"	"0.610931174089069"	"5.20294374522882e-05"	"0.000387689843344642"
"ENSG00000186056"	"0.305465587044534"	"0.0590320162852229"	"0.11469582470455"
"ENSG00000186235"	"0.45668016194332"	"0.00379492542097343"	"0.0111761797571784"
"ENSG00000186493"	"0.791295546558704"	"8.94747767220722e-08"	"4.09634681324004e-05"
"ENSG00000186594"	"0.474089068825911"	"0.00255563944693022"	"0.00801661574866254"
"ENSG00000186615"	"0.511943319838057"	"0.00100989634690203"	"0.00373810468446069"
"ENSG00000186960"	"0.662348178137652"	"7.71082419719575e-06"	"0.000115910458974577"
"ENSG00000187012"			
"ENSG00000187013"	"0.491902834008097"	"0.00167126773311813"	"0.005626288261369"
"ENSG00000187185"	"0.654655870445344"	"1.04176782511408e-05"	"0.000136948207060579"
"ENSG00000187229"	"0.147381837613622"	"0.370596311489147"	"0.493733879114091"
"ENSG00000187600"	"0.271354112101463"	"0.0947239482712049"	"0.169196469767193"
"ENSG00000187621"	"0.634615384615385"	"2.22867525898839e-05"	"0.000219577621467603"
"ENSG00000187904"	"0.58663967611336"	"0.000116995149957299"	"0.000697729564207941"
"ENSG00000187951"	"0.61336032388664"	"4.78227031530688e-05"	"0.000366755858718216"
"ENSG00000187979"	"-0.0561214777126013"	"0.734351237320664"	"0.811315025719387"
"ENSG00000188004"	"0.0961538461538462"	"0.559082928509585"	"0.669778064559872"
"ENSG00000188185"	"0.657085020242915"	"9.47782474708168e-06"	"0.000129702393726906"
"ENSG00000188242"	"0.633805668016194"	"2.29638031998263e-05"	"0.000222679303755891"
"ENSG00000188280"	"0.25748987854251"	"0.113482555283291"	"0.195859068446079"
"ENSG00000188365"	"0.537246963562753"	"0.00051250882714195"	"0.002165347477308"
"ENSG00000188511"	"0.660728744939271"	"8.217890493364e-06"	"0.000119607427990644"
"ENSG00000188525"	"0.487246963562753"	"0.00187128199902456"	"0.00617330144008102"
"ENSG00000188660"	"0.392307692307692"	"0.0140475360877027"	"0.033805546822781"
